Code;Description;Detailed English Description;Detailed French Description
HA.03;EPI : BLOUSES ET AUTRES VETEMENTS DE LABORATOIRE REUTILISABLES;Reusable Lab Garments;Reusable lab coats and clothing
HA.04;EPI : VETEMENTS DE TRAVAIL ET DE PROTECTION COURANTS (HORS LABORATOIRE);Work and Protective Clothing (Non-lab);General PPE for industrial or field work
HA.05;EPI : ACCESSOIRES (LUNETTES, CASQUES, ETC…);PPE Accessories;Goggles, helmets, earplugs, etc.
HA.06;EQUIPEMENTS ET VETEMENTS DE PROTECTION ET SECURITE INDIVIDUELLE SPECIAUX;Specialized PPE;Protection for hazardous or specific conditions
HA.07;EQUIPEMENTS DE RADIOPROTECTION INDIVIDUELLE;Radiation Protection PPE;Individual equipment for radiological safety
HA.1;SECURITE AU TRAVAIL : CONSOMMABLES ET PETITS EQUIPEMENTS COLLECTIFS;Collective Safety Consumables and Equipment;For lab or shared workspaces
HA.11;CONSOMMABLES POUR RECEPTION DES DECHETS (ABSORBANTS, RECIPIENTS,…);Waste Safety Consumables;Absorbents, containers, spill kits
HA.12;PETIT MATERIEL DE SECURITE COLLECTIVE (SIGNALETIQUE, DETECTEURS…);Basic Collective Safety Tools;Signs, alarms, sensors
HA.2;SECURITE AU TRAVAIL : EQUIPEMENTS DE SECURITE COLLECTIFS;Collective Safety Equipment;Larger safety installations
HA.21;ARMOIRES DE SECURITE ET RANGEMENTS;Safety Cabinets and Storage;For chemicals, flammable materials, PPE
HA.22;ENCEINTES DE CONFINEMENT DES SUBST. DANGEREUSES ET CONSOMM. ASSOCIES;Hazardous Substance Enclosures;Containment systems (e.g. fume hoods)
HA.23;POSTES DE SECURITE MICROBIOLOGIQUES (PSM) - HOTTES ET CONSOMMABLES ASSOCIES;Microbiological Safety Cabinets (BSCs);BSCs, fume hoods, filters
HA.24;SECURITE AU TRAVAIL : AUTRES EQUIPEMENTS SPECIAUX ET CONSOMMABLES ASSOCIES;Other Specialized Safety Equipment;Additional tools and consumables
HB;SECURITE AU TRAVAIL : REPARATION, MAINTENANCE ET VERIFICATION DES EQUIPEMENTS DE SANTE ET SECURITE;Safety Equipment Repair and Inspection;Maintenance and regulatory checks
HB.0;SECURITE AU TRAVAIL : REPARATION, MAINTENANCE, VERIFICATION DES EQUIPEMENTS DE SANTE ET SECURITE;General Safety Equipment Maintenance;Covers all safety systems
HB.01;SECURITE AU TRAVAIL : REPARATION, MAINTENANCE ET VERIFICATION DES HOTTES ET PSM;Hood and BSC Maintenance;Testing and servicing fume hoods/PSMs
HB.02;SECURITE AU TRAVAIL : MAINTENANCE ET VERIF. DES AUTRES EQUIP. DE PROTECTION;Other PPE Maintenance;Testing/repair of PPE and safety systems
HC;SECURITE AU TRAVAIL : SERVICES;Workplace Safety Services;Service provision related to PPE
HC.0;SECURITE AU TRAVAIL : SERVICES D'ENTRETIEN DES VETEMENTS DE PROTECTION INDIVIDUELLE;PPE Maintenance Services;Cleaning, renting, maintaining garments
HC.01;SERVICES DE LOCATION ET ENTRETIEN DES BLOUSES DE LABORATOIRE;Lab Coat Rental & Cleaning;Rental and upkeep of lab-specific clothing
HC.02;SERVICES DE LOCATION ET ENTRETIEN AUTRES VETEMENTS DE PROTECTION INDIVIDUELLE;Other PPE Garment Services;Rental and maintenance of industrial PPE
I;INFORMATIQUE - TELECOMMUNICATIONS - AUDIOVISUEL;Computing, telecommunications and audiovisual equipment and systems;Informatique, télécommunications et équipements audiovisuels
IA;INFORMATIQUE : EQUIPEMENTS, CONSOMMABLES ET PIECES DETACHEES POUR L'INFORMATIQUE;IT hardware, accessories, consumables, and spare parts (e.g., PCs, printers, cables);Équipements, accessoires, consommables et pièces détachées informatiques (ex : PC, imprimantes, câbles)
IA.0;INFORMATIQUE : ORDINATEURS FIXES;Desktop computers for office or lab use (e.g., towers, mini-PCs);Ordinateurs fixes pour bureau ou laboratoire (ex : tours, mini-PCs)
IA.01;MICRO-ORDINATEURS ET STATIONS DE TRAVAIL FIXES;Standard desktops and high-performance workstations for scientific or professional use;Ordinateurs de bureau classiques et stations de travail puissantes pour usage scientifique ou professionnel
IA.1;INFORMATIQUE : APPAREILS MOBILES;Portable computing devices including laptops, tablets, ultrabooks;Appareils informatiques portables : ordinateurs portables, tablettes, ultrabooks
IA.11;ORDINATEURS PORTABLES;Laptop computers for mobile use or remote work;Ordinateurs portables pour usage mobile ou travail à distance
IA.12;AUTRES APPAREILS MOBILES (TABLETTES ET ORDINATEURS ULTRAPORTABLES);Tablets and ultra-light laptops (e.g., iPads, MacBook Air);Tablettes et ordinateurs ultraportables (ex : iPad, MacBook Air)
IA.2;INFORMATIQUE : PERIPHERIQUES, ACCESSOIRES ET CONSOMMABLES;Computer peripherals, accessories, and consumables (e.g., monitors, toner);Périphériques, accessoires et consommables informatiques (ex : écrans, toners)
IA.21;IMPRIMANTES;Office and lab printers (inkjet, laser, multifunction);Imprimantes pour bureau ou laboratoire (jet d'encre, laser, multifonction)
IA.22;CONSOMMABLES POUR IMPRIMANTES;Toner cartridges, ink, paper for printers;Cartouches de toner, encres, papier pour imprimantes
IA.23;PETITES FOURNITURES POUR LE STOCKAGE EXTERNE DES DONNEES;USB keys, external hard drives, memory cards;Clés USB, disques durs externes, cartes mémoire
IA.24;AUTRE MATERIEL INFORMATIQUE PERIPHERIQUE (ECRANS, CLAVIERS, SOURIS,…);Monitors, keyboards, mice, docking stations;Écrans, claviers, souris, stations d’accueil
IA.25;COMPOSANTS INTERNES POUR ORDINATEURS;RAM, SSDs, CPUs, GPUs, motherboards, and fans;RAM, SSD, processeurs, cartes mères, ventilateurs
IA.3;INFORMATIQUE : SERVEURS;Server hardware and systems for data hosting and processing;Serveurs et systèmes pour l’hébergement ou le traitement de données
IA.31;SERVEURS D'APPLICATIONS;Application servers used in institutional or research environments;Serveurs d’applications pour systèmes métiers ou de recherche
IA.32;SYSTEMES POUR LE STOCKAGE ET LA SAUVEGARDE DE DONNEES;NAS, SAN, backup servers for data storage and archiving;Systèmes NAS, SAN ou serveurs de sauvegarde pour le stockage de données
IA.33;SERVEURS POUR LE CALCUL OU L'EXPLOITATION DE DONNEES SCIENTIFIQUES;Compute servers for simulations, modelling, and data analysis;Serveurs de calcul pour la simulation, la modélisation, l’analyse de données
IA.34;SERVEURS HAUTES PERFORMANCES, SUPER CALCULATEURS;High-performance computing servers and supercomputers (e.g., HPC clusters);Serveurs de calcul haute performance et supercalculateurs (ex : clusters HPC)
IA.4;INFORMATIQUE: EQUIPEMENTS POUR RESEAUX INFORMATIQUES / TELECOM;Networking and telecom infrastructure (switches, routers, access points);Équipements réseaux et télécoms (switchs, routeurs, points d’accès)
IA.41;RESEAUX : PETITS EQUIPEMENTS DE RESEAUX INFORMATIQUES;Basic network devices (e.g., SOHO routers, Ethernet hubs);Équipements réseaux simples (ex : routeurs SOHO, hubs Ethernet)
IA.42;RESEAUX : EQUIPEMENTS DE RESEAUX INFORMATIQUES;Enterprise-level switches, routers, firewalls;Switchs, routeurs, pare-feux professionnels
IA.43;RESEAUX : EQUIPEMENTS DE TRANSMISSION DE DONNEES SANS FIL (dont bornes Wi-Fi);Wi-Fi access points, wireless bridges, antennas;Bornes Wi-Fi, ponts sans fil, antennes réseau
IA.44;RESEAUX : EQUIPEMENTS DE SUPERVISION ET METROLOGIE;Network monitoring and diagnostic tools (e.g., SNMP probes);Outils de supervision et de mesure réseau (ex : sondes SNMP)
IA.45;RESEAUX : ANALYSEURS;Protocol analyzers, packet sniffers, network testers;Analyseurs de protocoles, sniffeurs de paquets, testeurs réseau
IA.46;CONCEPTION, REALISATION DE RESEAUX INFORMATIQUES;Design and setup of IT networks (e.g., structured cabling, configurations);Conception et déploiement de réseaux informatiques (ex : câblage structuré, configuration)
IA.5;INFORMATIQUE : SYSTEMES SPECIALISES;Specialized computer systems for VR, robotics, embedded computing;Systèmes informatiques spécialisés : VR, robotique, calcul embarqué
IA.51;INFORMATIQUE : SYSTEMES DE SORTIE POUR LA REALITE VIRTUELLE;VR headsets and output devices (e.g., Meta Quest, HTC Vive);Casques VR et dispositifs de sortie (ex : Meta Quest, HTC Vive)
IA.52;INFORMATIQUE : CALCULATEURS EMBARQUES;Embedded computing units for integration in machines or systems;Calculs embarqués pour l’intégration dans des systèmes ou machines
IA.53;INFORMATIQUE : ROBOTS PROTOTYPES;Prototype robots for research or education (e.g., robotic arms, mobile robots);Robots prototypes pour recherche ou enseignement (ex : bras robotisés, robots mobiles)
IA.54;INFORMATIQUE : AUTRES SYSTEMES DE PILOTAGE;Control systems for machines or experimental setups;Systèmes de commande pour machines ou montages expérimentaux
IA.55;INFORMATIQUE : CAPTEURS POUR LA REALITE VIRTUELLE;Motion tracking sensors for VR (e.g., Leap Motion, hand trackers);Capteurs de mouvement pour VR (ex : Leap Motion, trackers mains)
IA.56;INFORMATIQUE : CAPTEURS POUR LA ROBOTIQUE;Sensors used in robotics (e.g., lidar, IMU, rangefinders);Capteurs pour la robotique (ex : lidar, IMU, télémètres)
IA.57;INFORMATIQUE : ACTIONNEURS;Actuators for motion control (e.g., servos, stepper motors);Actionneurs pour le mouvement (ex : servomoteurs, moteurs pas-à-pas)
IB;INFORMATIQUE : LOGICIELS STANDARDS ET SPECIFIQUES;Standard and specialized software (licenses and maintenance);Logiciels standards et spécifiques (licences et maintenance)
IB.0;LOGICIELS POUR SYSTEME ET RESEAUX : DROITS ET MAINTENANCE;Operating system and network software licenses and maintenance;Licences et maintenance des logiciels système et réseau
IB.01;DROITS D'UTILISATION DE LOGICIELS STANDARDS POUR SYSTEME ET RESEAUX;Licenses for standard OS and networking software (e.g., Windows Server, Cisco IOS);Licences de logiciels standards pour systèmes et réseaux (ex : Windows Server, Cisco IOS)
IB.02;DROITS D'UTILISATION DE LOGICIELS SPECIFIQUES POUR SYSTEME ET RESEAUX;Licenses for specialized or niche system/network tools (e.g., network firewalls, custom monitoring);Licences de logiciels spécifiques pour réseaux ou systèmes (ex : pare-feux, outils de supervision spécialisés)
IB.03;MAINTENANCE DES LOGICIELS POUR SYSTEME ET RESEAUX;Updates and support for system and network software;Support et mises à jour pour les logiciels système et réseau
IB.1;LOGICIELS BUREAUTIQUES : DROITS ET MAINTENANCE;Office productivity software (licenses and updates);Logiciels bureautiques (licences et mises à jour)
IB.11;DROITS D'UTILISATION DE LOGICIELS STANDARDS DE BUREAUTIQUE;Licenses for Word, Excel, PowerPoint, etc.;Licences de Word, Excel, PowerPoint, etc.
IB.12;DROITS D'UTILISATION DE LOGICIELS SPECIFIQUES DE BUREAUTIQUE;Licenses for specialized office tools (e.g., PDF editors, dictation software);Licences de logiciels bureautiques spécifiques (ex : éditeurs PDF, dictée vocale)
IB.13;MAINTENANCE DES LOGICIELS DE BUREAUTIQUE;Software updates and tech support for office tools;Mises à jour et support technique des logiciels bureautiques
IB.2;LOGICIELS POUR LE DEVELOPPEMENT : DROITS ET MAINTENANCE;Software for coding, compiling, and development;Logiciels de développement, compilation, programmation
IB.21;DROITS D'UTILISATION DE LOGICIELS STANDARDS DE DEVELOPPEMENT;Licenses for standard IDEs and compilers (e.g., Visual Studio, PyCharm);Licences d’IDEs et compilateurs standards (ex : Visual Studio, PyCharm)
IB.22;DROITS D'UTILISATION DE LOGICIELS SPECIFIQUES DE DEVELOPPEMENT;Licenses for specialized development environments (e.g., embedded systems, FPGA tools);Licences de logiciels spécifiques de développement (ex : outils FPGA, systèmes embarqués)
IB.23;MAINTENANCE DES LOGICIELS DE DEVELOPPEMENT;Updates and support for programming tools;Maintenance et support des outils de développement
IB.3;AUTRES LOGICIELS : DROITS ET MAINTENANCE;Other software types not categorized elsewhere;Autres types de logiciels non classés ailleurs
IB.31;DROITS D'UTIL. DES AUTRES LOGICIELS SCIENTIFIQUES;Licenses for scientific software (e.g., MATLAB, Gaussian);Licences de logiciels scientifiques (ex : MATLAB, Gaussian)
IB.32;DROITS D'UTILISATION DES AUTRES LOGICIELS;Licenses for other software (e.g., design, GIS, project management);Licences pour autres logiciels (ex : design, SIG, gestion de projet)
IB.33;MAINTENANCE DES AUTRES LOGICIELS SCIENTIFIQUES;Support for scientific computing tools (e.g., simulation updates);Maintenance des outils scientifiques (ex : mises à jour de simulation)
IB.34;MAINTENANCE DES AUTRES LOGICIELS;Updates and support for miscellaneous software;Support et mises à jour pour logiciels divers
IC;INFORMATIQUE : MAINTENANCE, ENTRETIEN ET REPARATION DES EQUIPEMENTS INFORMATIQUES;IT hardware maintenance and repair (computers, networks, servers);Maintenance et réparation du matériel informatique (PC, réseaux, serveurs)
IC.0;MAINTENANCE ET REPARATION DES ORDINATEURS;Repair and upkeep of desktop computers;Maintenance et réparation des ordinateurs fixes
IC.01;MAINTENANCE ET REPARATION DES MICRO-ORDINATEURS, STATIONS DE TRAVAIL FIXES;Support and hardware repair for desktop PCs and workstations;Réparation et maintenance des PC de bureau et stations de travail
IC.02;MAINTENANCE ET REPARATION DES APPAREILS MOBILES;Repair and service for laptops, tablets, ultrabooks;Entretien et réparation des portables, tablettes, ultraportables
IC.1;MAINTENANCE ET REPARATION DES PERIPHERIQUES INFORMATIQUES;Maintenance for printers, displays, keyboards, etc.;Maintenance des périphériques (imprimantes, écrans, claviers, etc.)
IC.11;MAINTENANCE ET REPARATION DES PERIPHERIQUES INFORMATIQUES;Servicing of IT peripherals (printers, input devices, storage drives);Réparation des périphériques informatiques (imprimantes, périphériques d'entrée, disques externes)
IC.2;MAINTENANCE ET REPARATION DES SERVEURS;Support and repair for IT servers and storage systems;Maintenance et réparation des serveurs et systèmes de stockage
IC.21;MAINTENANCE ET REPARATION DES SERVEURS D'APPLICATIONS;Troubleshooting and servicing of app servers;Support et dépannage des serveurs d'applications
IC.22;MAINTENANCE ET REPARATION DES SYST. DE STOCKAGE ET DE SAUVEGARDE DE DONNEES;Repair and monitoring of backup and storage infrastructure;Maintenance des systèmes de sauvegarde et de stockage de données
IC.23;MAINTENANCE ET REPARATION SERVEURS DE CALCUL OU D'EXPLOIT. DE DONNEES SCIENTIF.;Servicing of compute servers for scientific or high-load data use;Maintenance des serveurs de calcul ou de données scientifiques
IC.24;MAINTENANCE ET REPARATION DES SERVEURS HAUTE PERFORMANCE, SUPER CALCULATEURS;Maintenance for HPC systems and supercomputers;Maintenance des systèmes HPC et supercalculateurs
IC.3;MAINTENANCE ET REPARATION DES RESEAUX INFORMATIQUES;Servicing network equipment (routers, switches, firewalls);Maintenance des équipements réseau (routeurs, switchs, pare-feux)
IC.31;MAINTENANCE ET REPARATION DES EQUIPEMENTS DE RESEAUX INFORMATIQUES ;Repair and upkeep of IT networking infrastructure;Entretien et dépannage de l’infrastructure réseau informatique
IC.4;MAINTENANCE ET REPARATION DES SYSTEMES SPECIALISES;Support for robotics, VR, embedded systems;Maintenance des systèmes spécialisés (robotique, VR, embarqué)
IC.41;MAINTENANCE ET REPARATION DES SYSTEMES SPECIALISES;Troubleshooting of specialized computing systems;Dépannage des systèmes informatiques spécialisés
ID;INFORMATIQUE : SERVICES;IT services including consulting, management, and technical operations;Services informatiques incluant conseil, gestion et opérations techniques
ID.0;INFORMATIQUE : SERVICES RELATIFS AUX RESEAUX;Network-related services (installation, configuration, administration);Services liés aux réseaux (installation, configuration, administration)
ID.01;INFORMATIQUE : PRESTATIONS D'ADMINISTRATION ET EXPLOITATION DE SERVICES RESEAUX;Network operations and admin services (e.g., DNS, DHCP, firewall management);Services d’administration et d’exploitation réseau (ex : DNS, DHCP, gestion des pare-feux)
ID.1;INFORMATIQUE : AUTRES SERVICES;Other IT services, including consulting, audits, development;Autres prestations informatiques : conseil, audit, développement
ID.11;INFORMATIQUE : SCHEMA DIRECTEUR ET AUDIT;IT master plans and audits for systems or infrastructure;Plans directeurs SI et audits des infrastructures informatiques
ID.12;INFORMATIQUE : ASSISTANCE A MAITRISE D'OUVRAGE;Strategic support to IT project owners (specs, planning, user needs);Assistance à la maîtrise d’ouvrage (expression de besoin, cadrage, planification)
ID.13;INFORMATIQUE : ASSISTANCE A MAITRISE D'ŒUVRE;Technical project support for implementation (e.g., architecture, integration);Assistance à la maîtrise d’œuvre (ex : intégration, choix techniques, architecture)
ID.14;INFORMATIQUE : TRAITEMENTS INFORMATIQUES;Outsourced or automated data processing services;Services de traitement automatisé ou externalisé des données
ID.15;INFORMATIQUE : INFOGERANCE DE SYSTEMES D'INFORMATION;Managed IT services (full or partial outsourcing of IT systems);Infogérance partielle ou complète de systèmes d’information
ID.16;INFORMATIQUE : DEVELOPPEMENTS D'APPLICATION DE SYSTEMES D'INFORMATION ;Development of institutional/business applications (e.g., HR tools, intranet);Développement d’applications métiers ou institutionnelles (ex : RH, intranet)
ID.17;INFORMATIQUE : DEVELOPPEMENTS D'APPLICATION A USAGE SCIENTIFIQUE;Software development for scientific research (e.g., simulation, data processing);Développement logiciel pour usage scientifique (ex : simulation, traitement de données)
ID.18;INFORMATIQUE : AUTRES MISSIONS D'ETUDES ET DE CONSEILS;Feasibility studies, audits, or IT consulting not covered above;Études de faisabilité, audits ou conseils informatiques divers
ID.19;INFORMATIQUE : AUTRES SERVICES INFORMATIQUES;Other IT services (e.g., migrations, training, specialized configurations);Autres prestations informatiques (ex : migration, formation, configuration avancée)
